"concept_es","definition_es","variants_es","examples_es","concept_en","definition_en","variants_en","examples_en","topic","level","domain"
"capital invertido","El capital invertido es la cantidad de dinero destinada a una inversión específica.","monto invertido;principal de inversión","El capital invertido puede crecer con el tiempo.","invested capital","Invested capital is the amount of money allocated to a specific investment.","investment amount;principal","Invested capital can grow over time.","investment","intermediate","finance"
"carga de deuda","La carga de deuda es la relación entre los pagos de deuda y los ingresos totales.","nivel de endeudamiento;peso de la deuda","Una carga de deuda alta limita el consumo.","debt burden","Debt burden is the ratio of debt payments to total income.","debt load;leverage ratio","A high debt burden limits consumption.","debt","intermediate","personal_finance"
"carga fiscal","La carga fiscal es el total de impuestos que una persona debe pagar en relación a sus ingresos.","presión tributaria;peso de impuestos","Las deducciones ayudan a reducir la carga fiscal.","tax burden","Tax burden is the total tax a person must pay relative to their income.","tax load;fiscal pressure","Deductions help reduce the tax burden.","taxation","intermediate","finance"
"consolidación de deuda","La consolidación de deuda es el proceso de combinar varias deudas en un solo pago.","unificación de deuda;refinanciamiento","La consolidación de deuda puede reducir los intereses.","debt consolidation","Debt consolidation is the process of combining several debts into a single payment.","debt unification;refinancing","Debt consolidation can reduce interest rates.","debt","intermediate","personal_finance"
"control de gastos","El control de gastos es el proceso de supervisar y limitar el dinero gastado.","gestión de gastos;seguimiento de gastos","Las aplicaciones ayudan al control de gastos.","expense control","Expense control is the process of monitoring and limiting spending.","spending control;expense management","Apps help track expenses.","budgeting","basic","personal_finance"
"costo del crédito","El costo del crédito es el monto adicional pagado por el uso de dinero prestado.","precio del préstamo;gasto financiero","Los intereses determinan el costo del crédito.","cost of credit","The cost of credit is the additional amount paid for using borrowed money.","borrowing cost;credit expense","Interest rates determine the cost of credit.","credit","intermediate","finance"
"crédito","El crédito es la posibilidad de obtener dinero prestado con obligación de pago futuro.","financiamiento;préstamo","Las tarjetas permiten usar crédito.","credit","Credit is the ability to borrow money with an obligation to repay later.","borrowing;financial credit","Credit cards provide credit.","credit","basic","personal_finance"
"crédito personal","El crédito personal es un préstamo otorgado a individuos.","préstamo personal;financiamiento personal","Muchas personas solicitan crédito personal.","personal credit","Personal credit is a loan granted to individuals.","personal loan;consumer credit","People often apply for personal credit.","credit","basic","personal_finance"
"crédito rotativo","El crédito rotativo es un cupo de dinero que se puede usar y reutilizar a medida que se paga.","crédito revolvente;línea rotativa","La tarjeta de crédito es un tipo de crédito rotativo.","revolving credit","Revolving credit is a credit line that can be used and reused as it is repaid.","revolving line;open-end credit","A credit card is a type of revolving credit.","credit","intermediate","banking"
"cuenta bancaria","Una cuenta bancaria es un registro financiero donde se deposita y gestiona dinero.","cuenta financiera;cuenta de banco","Las personas usan cuentas bancarias para guardar dinero.","bank account","A bank account is a financial record used to deposit and manage money.","financial account;deposit account","People use bank accounts to store money.","banking","basic","personal_finance"
"cuenta corriente","Una cuenta corriente es una cuenta bancaria utilizada para pagos y transacciones frecuentes.","cuenta de cheques;cuenta transaccional","Los pagos diarios se realizan desde la cuenta corriente.","checking account","A checking account is used for frequent payments and transactions.","transaction account;checking bank account","Daily payments come from a checking account.","banking","basic","personal_finance"
"cuenta de ahorro","Una cuenta de ahorro es una cuenta bancaria destinada a guardar dinero.","cuenta para ahorrar;depósito de ahorro","Los bancos ofrecen cuentas de ahorro.","savings account","A savings account is a bank account intended for saving money.","deposit savings account;savings deposit","Banks offer savings accounts.","banking","basic","personal_finance"
"declaración de impuestos","La declaración de impuestos es el informe oficial de ingresos presentado ante la autoridad fiscal.","reporte fiscal;declaración de renta","Presentar la declaración de impuestos es obligatorio para algunos.","tax return","A tax return is the official report of income filed with a tax authority.","tax filing;fiscal report","Filing a tax return is mandatory for some.","taxation","basic","finance"
"deducción fiscal","La deducción fiscal es un gasto que se puede restar del ingreso para pagar menos impuestos.","descuento tributario;beneficio fiscal","Los gastos médicos pueden ser una deducción fiscal.","tax deduction","A tax deduction is an expense that can be subtracted from income to pay less tax.","fiscal deduction;tax break","Medical expenses can be a tax deduction.","taxation","intermediate","finance"
"depósito bancario","Un depósito bancario es la acción de poner dinero en una cuenta bancaria.","abono bancario;ingreso de fondos","Puedes realizar un depósito bancario en la ventanilla.","bank deposit","A bank deposit is the act of putting money into a bank account.","account deposit;fund deposit","You can make a bank deposit at the teller window.","banking","basic","finance"
"deuda","La deuda es una obligación de pagar dinero prestado.","obligación financiera;dinero adeudado","Un préstamo genera deuda.","debt","Debt is an obligation to repay borrowed money.","financial obligation;borrowed liability","A loan creates debt.","debt","basic","personal_finance"
"deuda a corto plazo","La deuda a corto plazo es una obligación financiera que debe pagarse en menos de un año.","deuda inmediata;pasivo corriente","El saldo de la tarjeta es deuda a corto plazo.","short-term debt","Short-term debt is a financial obligation to be paid in less than a year.","current debt;near-term liability","Card balances are short-term debt.","debt","intermediate","personal_finance"
"deuda a largo plazo","La deuda a largo plazo es una obligación financiera con vencimiento superior a un año.","deuda extendida;pasivo no corriente","La hipoteca es una deuda a largo plazo.","long-term debt","Long-term debt is a financial obligation with a maturity exceeding one year.","extended debt;non-current liability","A mortgage is long-term debt.","debt","intermediate","personal_finance"
"deuda de consumo","La deuda de consumo es dinero prestado para comprar bienes o servicios personales.","deuda comercial;crédito de consumo","La deuda de consumo suele tener intereses altos.","consumer debt","Consumer debt is money borrowed to purchase personal goods or services.","retail debt;personal borrowing","Consumer debt often has high interest.","debt","basic","personal_finance"
"deuda pendiente","La deuda pendiente es el monto total que aún no ha sido pagado.","saldo adeudado;deuda viva","Es importante revisar la deuda pendiente cada mes.","outstanding debt","Outstanding debt is the total amount that has not yet been paid.","unpaid balance;unpaid debt","It is important to check outstanding debt monthly.","debt","basic","personal_finance"
"deuda personal","La deuda personal es el total de obligaciones financieras de un individuo.","pasivos personales;endeudamiento individual","Gestionar la deuda personal mejora la salud financiera.","personal debt","Personal debt is the total financial obligations of an individual.","individual debt;personal liability","Managing personal debt improves financial health.","debt","basic","personal_finance"
"diversificación","La diversificación consiste en invertir en distintos activos para reducir riesgos.","inversión diversificada;distribución de inversiones","Diversificar reduce el riesgo financiero.","diversification","Diversification means investing in different assets to reduce risk.","investment diversification;portfolio spread","Diversification reduces financial risk.","investment","intermediate","personal_finance"
"estabilidad financiera","La seguridad de tener recursos suficientes para cubrir necesidades presentes y futuras.","solidez económica;equilibrio financiero","El ahorro genera estabilidad financiera.","financial stability","The security of having sufficient resources to cover present and future needs.","economic stability;financial soundness","Savings build financial stability.","risk","intermediate","finance"
"estabilidad financiera personal","La estabilidad financiera personal es la capacidad de mantener equilibrio entre ingresos y gastos.","equilibrio financiero personal;seguridad económica personal","Un buen presupuesto favorece la estabilidad financiera personal.","personal financial stability","Personal financial stability is the ability to maintain balance between income and expenses.","economic stability;financial balance","A good budget supports personal financial stability.","planning","basic","personal_finance"
"estado de cuenta","El estado de cuenta es un documento que detalla los movimientos de una cuenta en un periodo.","resumen de cuenta;extracto bancario","Revisa tu estado de cuenta para detectar errores.","account statement","An account statement is a document detailing account movements over a period.","bank statement;summary of account","Check your account statement for errors.","banking","basic","finance"
"evaluación crediticia","La evaluación crediticia es el análisis que hace un banco para decidir si presta dinero.","análisis de riesgo;estudio de crédito","La evaluación crediticia considera tus ingresos.","credit assessment","A credit assessment is the analysis a bank performs to decide whether to lend money.","credit appraisal;credit analysis","Credit assessment considers your income.","credit","intermediate","banking"
"flujo de ingresos","El flujo de ingresos es la entrada constante de dinero de diversas fuentes.","corriente de ingresos;flujo financiero","Diversificar el flujo de ingresos reduce riesgos.","income flow","Income flow is the steady inflow of money from different sources.","income stream;revenue flow","Diversifying income streams reduces risk.","income","intermediate","personal_finance"
"fondo de emergencia","El fondo de emergencia es dinero reservado para situaciones financieras inesperadas.","reserva de emergencia;fondo preventivo","Muchas personas guardan meses de gastos en su fondo de emergencia.","emergency fund","An emergency fund is money saved for unexpected financial situations.","contingency fund;emergency reserve","People often save several months of expenses.","saving","basic","personal_finance"
"gasto discrecional","El gasto discrecional es el dinero utilizado en bienes no esenciales.","gasto opcional;gasto no esencial","Viajar es un gasto discrecional.","discretionary spending","Discretionary spending is money used on nonessential items.","optional spending;nonessential expense","Travel is discretionary spending.","budgeting","basic","personal_finance"
"gasto esencial","El gasto esencial cubre necesidades básicas.","gasto necesario;costo básico","La vivienda es un gasto esencial.","essential expense","Essential spending covers basic needs.","necessary expense;basic cost","Housing is an essential expense.","budgeting","basic","personal_finance"
"gasto fijo","Un gasto fijo es un pago que se mantiene constante.","costo fijo;pago fijo","El alquiler es un gasto fijo.","fixed expense","A fixed expense is a payment that remains constant.","fixed cost;regular expense","Rent is a fixed expense.","budgeting","basic","personal_finance"
"gasto variable","Un gasto variable cambia según el consumo.","costo variable;gasto flexible","La comida es un gasto variable.","variable expense","A variable expense changes depending on usage.","variable cost;flexible expense","Food spending is variable.","budgeting","basic","personal_finance"
"gestión de deuda","La gestión de deuda es el proceso de organizar y controlar las obligaciones financieras pendientes.","administración de deuda;manejo de deuda","Una buena gestión de deuda evita el sobreendeudamiento.","debt management","Debt management is the process of organizing and controlling outstanding financial obligations.","debt administration;debt handling","Good debt management prevents excessive borrowing.","debt","basic","personal_finance"
"gestión de riesgo","La gestión de riesgo consiste en identificar y reducir posibles pérdidas financieras.","administración de riesgo;manejo de riesgo","Las empresas aplican gestión de riesgo en sus inversiones.","risk management","Risk management involves identifying and reducing potential financial losses.","risk administration;risk handling","Companies apply risk management to investments.","risk","basic","finance"
"hábito de ahorro","El hábito de ahorro es la práctica regular de guardar parte del ingreso.","costumbre de ahorro;disciplina de ahorro","Ahorrar cada mes crea un hábito de ahorro.","saving habit","A saving habit is the regular practice of setting aside part of income.","saving discipline;saving routine","Saving monthly builds a saving habit.","saving","basic","personal_finance"
"historial crediticio","El historial crediticio es el registro del comportamiento de pago de una persona.","registro crediticio;historial de crédito","Los bancos revisan el historial crediticio antes de aprobar préstamos.","credit history","Credit history is the record of a person's borrowing and repayment behavior.","credit record;borrowing history","Banks review credit history before approving loans.","credit","basic","personal_finance"
"honorarios","Los honorarios son la remuneración pagada por servicios profesionales independientes.","pago profesional;retribución por servicios","Un abogado cobra honorarios.","professional fees","Fees are the remuneration paid for independent professional services.","service fees;professional pay","A lawyer charges fees.","income","basic","personal_finance"
"horizonte de inversión","El horizonte de inversión es el periodo durante el cual se espera mantener una inversión.","plazo de inversión;tiempo de inversión","Un horizonte de inversión largo permite asumir más riesgo.","investment horizon","The investment horizon is the period an investor plans to hold an investment.","investment timeframe;investment period","A long investment horizon allows more risk.","investment","intermediate","finance"
"impuesto sobre la renta","El impuesto sobre la renta es un tributo aplicado a los ingresos de las personas.","impuesto a los ingresos;impuesto personal","Los trabajadores pagan impuesto sobre la renta cada año.","income tax","Income tax is a tax applied to personal earnings.","earnings tax;personal income tax","Workers pay income tax annually.","taxation","basic","personal_finance"
"incertidumbre financiera","La incertidumbre financiera es la falta de seguridad sobre resultados económicos futuros.","incertidumbre económica;riesgo financiero incierto","Los mercados pueden generar incertidumbre financiera.","financial uncertainty","Financial uncertainty is the lack of predictability about future financial outcomes.","economic uncertainty;financial unpredictability","Markets can create financial uncertainty.","risk","intermediate","finance"
"ingreso","El ingreso es el dinero que una persona o entidad recibe.","ganancia;entrada de dinero","El salario es una forma de ingreso.","income","Income is money received by a person or entity.","earnings;revenue","Salary is a form of income.","income","basic","personal_finance"
"ingreso activo","El ingreso activo es dinero obtenido mediante trabajo directo.","ingreso laboral;ganancia activa","El salario es ingreso activo.","active income","Active income is money earned through direct work.","earned income;labor income","Salary is active income.","income","basic","personal_finance"
"ingreso bruto","El ingreso bruto es el total de ingresos antes de deducciones.","ingreso total;ganancia bruta","El ingreso bruto incluye todo el dinero ganado.","gross income","Gross income is total earnings before deductions.","total income;gross earnings","Gross income includes all money earned.","income","basic","personal_finance"
"ingreso disponible","El ingreso disponible es el dinero que queda después de pagar impuestos.","ingreso neto disponible;dinero disponible","El ingreso disponible se usa para consumo o ahorro.","disposable income","Disposable income is the money left after taxes.","available income;spendable income","Disposable income is used for spending or saving.","income","basic","personal_finance"
"ingreso gravable","El ingreso gravable es la cantidad de ingresos sujeta a impuestos.","ingreso sujeto a impuesto;base imponible","Las deducciones reducen el ingreso gravable.","taxable income","Taxable income is the amount of income subject to taxation.","taxable earnings;tax base","Deductions reduce taxable income.","taxation","intermediate","finance"
"ingreso neto","El ingreso neto es el dinero que queda después de deducciones.","ganancia neta;ingreso final","El ingreso neto aparece en la nómina.","net income","Net income is the money remaining after deductions.","net earnings;final income","Net income appears on pay slips.","income","basic","personal_finance"
"ingreso pasivo","El ingreso pasivo es dinero recibido sin trabajo activo continuo.","ingreso automático;ingreso pasivo financiero","Los alquileres pueden generar ingreso pasivo.","passive income","Passive income is money earned without continuous active work.","residual income;passive earnings","Rent can generate passive income.","income","basic","personal_finance"
"ingreso recurrente","El ingreso recurrente es dinero recibido de forma regular.","ingreso periódico;ingreso repetido","Las suscripciones generan ingreso recurrente.","recurring income","Recurring income is money received on a regular basis.","repeated income;periodic revenue","Subscriptions create recurring income.","income","intermediate","finance"
"interés del crédito","El interés del crédito es el porcentaje cobrado por el uso de dinero prestado.","tasa de interés;costo financiero","Es vital comparar el interés del crédito.","credit interest","Credit interest is the percentage charged for using borrowed money.","interest rate;borrowing interest","It's vital to compare credit interest.","credit","basic","finance"
"inversión","La inversión es el uso de dinero con la expectativa de obtener ganancias futuras.","colocación de capital;inversión financiera","Comprar acciones es una inversión.","investment","Investment is the use of money with the expectation of future profit.","capital allocation;financial investment","Buying stocks is an investment.","investment","basic","finance"
"inversión a corto plazo","La inversión a corto plazo se mantiene durante un periodo breve.","inversión temporal;inversión rápida","Los depósitos a plazo corto son inversiones a corto plazo.","short-term investment","A short-term investment is held for a brief period.","temporary investment;short duration investment","Short deposits are short-term investments.","investment","basic","finance"
"inversión a largo plazo","La inversión a largo plazo se mantiene durante varios años.","inversión prolongada;inversión duradera","Los fondos de retiro son inversiones a largo plazo.","long-term investment","A long-term investment is held for several years.","extended investment;long duration investment","Retirement funds are long-term investments.","investment","basic","finance"
"inversión personal","La inversión personal es la asignación de dinero para objetivos financieros individuales.","inversión privada;inversión individual","Muchas personas realizan inversión personal en fondos.","personal investment","Personal investment is allocating money for individual financial goals.","private investment;individual investing","People often make personal investments in funds.","investment","basic","personal_finance"
"límite de crédito","El límite de crédito es el monto máximo que se puede pedir prestado.","tope de crédito;máximo de crédito","La tarjeta tiene un límite de crédito.","credit limit","A credit limit is the maximum amount that can be borrowed.","borrowing limit;credit cap","The card has a credit limit.","credit","basic","personal_finance"
"límite de gasto","El límite de gasto es el máximo permitido para gastar en un presupuesto.","tope de gasto;control de gasto","El presupuesto fija un límite de gasto.","spending limit","A spending limit is the maximum allowed spending in a budget.","expense cap;spending cap","Budgets set spending limits.","budgeting","basic","personal_finance"
"línea de crédito","Una línea de crédito es una cantidad de dinero disponible para préstamo.","crédito disponible;facilidad de crédito","El banco ofrece una línea de crédito.","credit line","A credit line is a set amount of money available for borrowing.","credit facility;borrowing line","The bank provides a credit line.","credit","basic","personal_finance"
"meta de ahorro","La meta de ahorro es un objetivo específico de dinero a guardar.","objetivo de ahorro;propósito de ahorro","Ahorrar para un coche es una meta de ahorro.","saving goal","A saving goal is a amount of money to save.","saving objective;savings target","Saving for a car is a saving goal.","saving","basic","personal_finance"
"meta financiera","Una meta financiera es un objetivo relacionado con el dinero.","objetivo económico;objetivo financiero","Comprar una casa puede ser una meta financiera.","financial goal","A financial goal is a money-related objective.","economic objective;finance goal","Buying a house can be a financial goal.","planning","basic","personal_finance"
"objetivo financiero","Un objetivo financiero es un resultado económico deseado.","meta económica;propósito financiero","Ahorrar para retiro es un objetivo financiero.","financial objective","A financial objective is a desired economic result.","financial aim;economic target","Saving for retirement is a financial objective.","planning","basic","personal_finance"
"obligación fiscal","La obligación fiscal es la responsabilidad de pagar impuestos.","deber fiscal;responsabilidad tributaria","Los ciudadanos tienen obligación fiscal.","tax obligation","A tax obligation is the responsibility to pay taxes.","tax duty;fiscal responsibility","Citizens have tax obligations.","taxation","basic","finance"
"pago de deuda","El pago de deuda es el dinero destinado a reducir obligaciones pendientes.","amortización de deuda;pago de préstamo","Realizar pagos mensuales reduce la deuda.","debt payment","Debt payment is money used to reduce outstanding obligations.","loan repayment;debt repayment","Monthly payments reduce debt.","debt","basic","personal_finance"
"pérdida financiera","Una pérdida financiera es la disminución del valor de un activo o capital.","minusvalía;perjuicio económico","Vender a un precio menor genera una pérdida financiera.","financial loss","A financial loss is the decrease in the value of an asset or capital.","capital loss;economic loss","Selling at a lower price creates a financial loss.","risk","basic","finance"
"perfil de riesgo","El perfil de riesgo describe la disposición de una persona a asumir riesgo.","perfil de inversión;perfil de tolerancia","Los inversionistas tienen diferentes perfiles de riesgo.","risk profile","A risk profile describes a person's willingness to take financial risk.","investment profile;risk tolerance profile","Investors have different risk profiles.","risk","intermediate","finance"
"plan financiero personal","El plan financiero personal es una estrategia para gestionar ingresos y gastos.","plan económico personal;estrategia financiera","Un plan financiero personal ayuda a cumplir metas.","personal financial plan","A personal financial plan is a strategy to manage income and expenses.","financial strategy;personal finance plan","A plan helps achieve financial goals.","planning","basic","personal_finance"
"planificación de gastos","La planificación de gastos consiste en decidir anticipadamente cómo se usará el dinero.","programación de gastos;proyección de gastos","La planificación de gastos evita sorpresas a fin de mes.","expense planning","Expense planning involves deciding in advance how money will be used.","spending planning;budgeting foresight","Expense planning avoids surprises at month-end.","budgeting","basic","personal_finance"
"planificación financiera","La planificación financiera es el proceso de organizar recursos económicos.","planificación económica;plan financiero","Las familias realizan planificación financiera.","financial planning","Financial planning is the process of organizing financial resources.","economic planning;financial strategy","Families engage in financial planning.","planning","basic","personal_finance"
"portafolio de inversión","El portafolio de inversión es el conjunto de activos financieros que posee un inversionista.","cartera de inversión;cartera financiera","Un portafolio de inversión puede incluir acciones y bonos.","investment portfolio","An investment portfolio is the collection of financial assets owned by an investor.","asset portfolio;financial portfolio","A portfolio may include stocks and bonds.","investment","intermediate","finance"
"presupuesto","El presupuesto es un plan que organiza ingresos y gastos.","plan de gastos;plan financiero","Un presupuesto ayuda a controlar el dinero.","budget","A budget is a plan that organizes income and expenses.","spending plan;financial plan","A budget helps control money.","budgeting","basic","personal_finance"
"presupuesto mensual","El presupuesto mensual es un plan financiero para un mes específico.","plan mensual de gastos;presupuesto de mes","Muchas familias crean un presupuesto mensual.","monthly budget","A monthly budget is a financial plan for a specific month.","monthly spending plan;monthly financial plan","Families often create a monthly budget.","budgeting","basic","personal_finance"
"presupuesto personal","El presupuesto personal organiza las finanzas individuales.","plan financiero personal;control personal de gastos","Un presupuesto personal ayuda a evitar deudas.","personal budget","A personal budget organizes individual finances.","personal spending plan;individual budget","A personal budget helps avoid debt.","budgeting","basic","personal_finance"
"puntuación crediticia","La puntuación crediticia es una medida numérica del riesgo crediticio de una persona.","score crediticio;puntaje de crédito","Los bancos revisan la puntuación crediticia.","credit score","A credit score is a numerical measure of a person's credit risk.","credit rating score;credit points","Banks check credit scores.","credit","basic","personal_finance"
"registro de gastos","El registro de gastos es el seguimiento detallado de los gastos realizados.","control de gastos;seguimiento de gastos","Un registro de gastos permite analizar hábitos.","expense tracking","Expense tracking is the detailed monitoring of spending.","spending record;expense log","Tracking expenses helps analyze habits.","budgeting","basic","personal_finance"
"rendimiento de inversión","El rendimiento de inversión es la ganancia obtenida de una inversión.","retorno de inversión;ganancia de inversión","El rendimiento de inversión puede ser positivo o negativo.","investment return","Investment return is the profit generated from an investment.","return on investment;investment gain","Returns may be positive or negative.","investment","basic","finance"
"reserva financiera","La reserva financiera es dinero guardado para seguridad económica.","colchón financiero;reserva económica","Una reserva financiera protege ante emergencias.","financial reserve","A financial reserve is money saved for financial security.","economic reserve;financial buffer","A reserve protects against emergencies.","saving","basic","personal_finance"
"retiro bancario","El retiro bancario es la acción de sacar dinero de una cuenta.","extracción bancaria;retiro de efectivo","Un retiro bancario puede hacerse en cajero.","bank withdrawal","A bank withdrawal is the act of taking money from an account.","cash withdrawal;account withdrawal","Withdrawals can be made at ATMs.","banking","basic","finance"
"retorno financiero","El retorno financiero es el beneficio económico obtenido de una operación o activo.","rendimiento financiero;ganancia monetaria","El retorno financiero se expresa a menudo en porcentaje.","financial return","Financial return is the economic benefit gained from an operation or asset.","financial gain;monetary return","Financial return is often expressed as a percentage.","investment","intermediate","finance"
"riesgo de inversión","El riesgo de inversión es la posibilidad de perder dinero al invertir.","riesgo financiero de inversión;riesgo del mercado","Las acciones tienen mayor riesgo de inversión.","investment risk","Investment risk is the possibility of losing money when investing.","financial risk;market risk","Stocks carry higher investment risk.","risk","basic","finance"
"riesgo financiero","El riesgo financiero es la posibilidad de pérdidas económicas.","riesgo económico;riesgo monetario","Las empresas evalúan el riesgo financiero.","financial risk","Financial risk is the possibility of economic loss.","economic risk;monetary risk","Companies assess financial risk.","risk","basic","finance"
"salario","El salario es la remuneración recibida por trabajo.","sueldo;pago laboral","El salario se paga generalmente cada mes.","salary","Salary is the compensation received for work.","wage;pay","Salary is usually paid monthly.","income","basic","personal_finance"
"saldo bancario","El saldo bancario es la cantidad de dinero disponible en una cuenta.","balance bancario;saldo de cuenta","Puedes revisar tu saldo bancario en línea.","bank balance","A bank balance is the amount of money available in an account.","account balance;bank account balance","You can check your bank balance online.","banking","basic","personal_finance"
"seguridad financiera","La seguridad financiera es la estabilidad económica que permite cubrir necesidades y emergencias.","protección financiera;estabilidad económica","El ahorro contribuye a la seguridad financiera.","financial security","Financial security is the economic stability that allows covering needs and emergencies.","economic security;financial stability","Saving contributes to financial security.","planning","basic","personal_finance"
"servicio bancario","El servicio bancario es cualquier servicio ofrecido por una institución financiera.","servicio financiero bancario;producto bancario","Los préstamos son servicios bancarios.","banking service","A banking service is any service offered by a financial institution.","financial service;bank product","Loans are banking services.","banking","basic","finance"
"tarjeta de crédito","La tarjeta de crédito es un instrumento de pago que permite comprar con crédito.","plástico de crédito;tarjeta financiera","Las tarjetas de crédito permiten pagos diferidos.","credit card","A credit card is a payment instrument that allows purchases on credit.","credit payment card;bank card","Credit cards allow deferred payments.","credit","basic","personal_finance"
"tasa de ahorro","La tasa de ahorro es el porcentaje del ingreso que se guarda.","porcentaje de ahorro;ratio de ahorro","Una alta tasa de ahorro mejora la estabilidad financiera.","savings rate","The savings rate is the percentage of income saved.","saving ratio;saving percentage","A high savings rate improves stability.","saving","basic","personal_finance"
"tolerancia al riesgo","La tolerancia al riesgo es el nivel de riesgo que una persona está dispuesta a aceptar.","aceptación de riesgo;capacidad de riesgo","Los jóvenes suelen tener mayor tolerancia al riesgo.","risk tolerance","Risk tolerance is the level of risk a person is willing to accept.","risk acceptance;risk capacity","Young investors often have higher risk tolerance.","risk","intermediate","finance"
"transferencia bancaria","La transferencia bancaria es el movimiento de dinero entre cuentas.","envío bancario de dinero;transferencia de fondos","Puedes hacer una transferencia bancaria en línea.","bank transfer","A bank transfer is the movement of money between accounts.","fund transfer;bank payment","You can make a bank transfer online.","banking","basic","personal_finance"
"volatilidad financiera","La volatilidad financiera es la variación frecuente en el valor de activos o mercados.","inestabilidad financiera;variación de mercado","Las criptomonedas tienen alta volatilidad financiera.","financial volatility","Financial volatility is the frequent variation in asset or market value.","market volatility;price fluctuation","Cryptocurrencies show high volatility.","risk","intermediate","finance"
"activo refugio","Un activo refugio es una inversión que mantiene o aumenta su valor durante tiempos de incertidumbre económica.","activo seguro;resguardo financiero","El oro es considerado tradicionalmente como un activo refugio.","safe haven asset","A safe haven asset is an investment expected to retain or increase in value during economic downturns.","safe asset;financial hedge","Gold is traditionally considered a safe haven asset.","investment","intermediate","finance"
"apreciación","La apreciación es el aumento del valor de un activo a lo largo del tiempo.","plusvalía;incremento de valor","Las propiedades inmobiliarias suelen tener una buena apreciación.","appreciation","Appreciation is the increase in the value of an asset over time.","value increase;capital gain","Real estate properties usually show good appreciation.","investment","basic","finance"
